[NDB]
SO    255.000 S007.30.43.690 E110.44.47.600
SP    305.000 N001.22.16.000 E102.08.22.000
SP    253.000 S002.41.36.000 E104.06.42.000
TF    290.000 S005.14.41.660 E105.10.41.300
TG    410.000 N001.02.58.010 E103.23.06.700
TI    385.000 N000.55.11.020 E104.31.34.200
TN    400.000 S006.17.24.840 E106.34.06.500
TP    230.000 N003.09.57.310 E097.17.09.300
WW    380.000 S002.54.19.020 E104.42.56.400
YY    205.000 S006.53.40.000 E107.33.31.000
JB    400.000 N001.29.59.770 E103.42.41.821 ;-
AG    325.000 N001.25.23.999 E103.49.23.999 ;- 
BED   232.000 N001.18.58.522 E103.57.49.201 ;-
KK    286.000 N001.31.17.000 E103.59.23.690 ;-
